input_id	dealiased_id	standard_id	short_id
url:https://moleculartargets.ccdi.cancer.gov	url:https://moleculartargets.ccdi.cancer.gov	url:https://moleculartargets.ccdi.cancer.gov	yb1jhRuc
https://www.cbtn.org	https://www.cbtn.org	url:https://www.cbtn.org	1FAAGUY9s
doi:10.1016/j.neo.2022.100846	doi:10.1016/j.neo.2022.100846	doi:10.1016/j.neo.2022.100846	U5WisTG5
https://kidsfirstdrc.org	https://kidsfirstdrc.org	url:https://kidsfirstdrc.org	JkpD6jMa
https://www.pnoc.us	https://www.pnoc.us	url:https://www.pnoc.us	cLFzPEr9
doi:10.1016/j.xgen.2023.100340	doi:10.1016/j.xgen.2023.100340	doi:10.1016/j.xgen.2023.100340	5VXMHJ7N
dbgap:phs000218.v23.p8	dbgap:phs000218.v23.p8	dbgap:phs000218.v23.p8	17Erd7F9J
dbgap:phs001436.v1.p1	dbgap:phs001436.v1.p1	dbgap:phs001436.v1.p1	UVwAVvuW
dbgap:phs002517.v2.p2	dbgap:phs002517.v2.p2	dbgap:phs002517.v2.p2	16JieTeo0
https://www.chordomafoundation.org	https://www.chordomafoundation.org	url:https://www.chordomafoundation.org	OePr0Q2g
https://preclinicalpivot.org/about-pivot	https://preclinicalpivot.org/about-pivot	url:https://preclinicalpivot.org/about-pivot	FriSyZuT
doi:10.1016/j.celrep.2019.09.071	doi:10.1016/j.celrep.2019.09.071	doi:10.1016/j.celrep.2019.09.071	SDwYl8uA
dbgap:phs001437.v2.p1	dbgap:phs001437.v2.p1	dbgap:phs001437.v2.p1	YyuxjMrs
doi:10.1038/sdata.2017.33	doi:10.1038/sdata.2017.33	doi:10.1038/sdata.2017.33	pWaloozZ
https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	url:https://www.pathology.med.umich.edu/mctp/mi-oncoseq-study	ygVj7a6q
https://gtexportal.org/home	https://gtexportal.org/home	url:https://gtexportal.org/home	PmGGj8AI
dbgap:phs000178.v11.p8	dbgap:phs000178.v11.p8	dbgap:phs000178.v11.p8	A9rC7i7X
doi:10.1016/j.cell.2020.10.044	doi:10.1016/j.cell.2020.10.044	doi:10.1016/j.cell.2020.10.044	meH98mKZ
doi:10.1016/j.ccell.2021.01.006	doi:10.1016/j.ccell.2021.01.006	doi:10.1016/j.ccell.2021.01.006	XOVss5Jf
https://moleculartargets.ccdi.cancer.gov	https://moleculartargets.ccdi.cancer.gov	url:https://moleculartargets.ccdi.cancer.gov	yb1jhRuc
https://github.com/kids-first/kf-tumor-workflow/tree/v0.3.0-beta	https://github.com/kids-first/kf-tumor-workflow/tree/v0.3.0-beta	url:https://github.com/kids-first/kf-tumor-workflow/tree/v0.3.0-beta	HbQDDeRu
doi:10.1186/s13059-016-0974-4	doi:10.1186/s13059-016-0974-4	doi:10.1186/s13059-016-0974-4	p1f5DxRQ
doi:10.1038/s41592-018-0051-x	doi:10.1038/s41592-018-0051-x	doi:10.1038/s41592-018-0051-x	REfkDUtE
doi:10.1101/861054	doi:10.1101/861054	doi:10.1101/861054	149BEKISi
doi:10.1038/s42003-018-0023-9	doi:10.1038/s42003-018-0023-9	doi:10.1038/s42003-018-0023-9	V6KdWVYi
doi:10.1093/nar/gkw227	doi:10.1093/nar/gkw227	doi:10.1093/nar/gkw227	trQRR8fs
doi:10/ckt4vz	doi:10/ckt4vz	doi:10.1093/bioinformatics/btr670	ZQ0L3o1q
doi:10/c6bcps	doi:10/c6bcps	doi:10.1093/bioinformatics/btq635	1F3i4BvCt
doi:10.1371/journal.pcbi.1004873	doi:10.1371/journal.pcbi.1004873	doi:10.1371/journal.pcbi.1004873	UTxRcYIQ
doi:10.1101/gr.107524.110	doi:10.1101/gr.107524.110	doi:10.1101/gr.107524.110	14nSa8zB9
https://kids-first-seq-data.s3.amazonaws.com/pipeline_references/dbSNP_v153_ucsc-compatible.converted.vt.decomp.norm.common_snps.vcf.gz	https://kids-first-seq-data.s3.amazonaws.com/pipeline_references/dbSNP_v153_ucsc-compatible.converted.vt.decomp.norm.common_snps.vcf.gz	url:https://kids-first-seq-data.s3.amazonaws.com/pipeline_references/dbSNP_v153_ucsc-compatible.converted.vt.decomp.norm.common_snps.vcf.gz	R55NqDRn
https://s3.amazonaws.com/kids-first-seq-data/pipeline_references/hg38_canonical_150.mappability	https://s3.amazonaws.com/kids-first-seq-data/pipeline_references/hg38_canonical_150.mappability	url:https://s3.amazonaws.com/kids-first-seq-data/pipeline_references/hg38_canonical_150.mappability	2zqlxj1H
https://cavatica.sbgenomics.com/u/kfdrc-harmonization/kf-references	https://cavatica.sbgenomics.com/u/kfdrc-harmonization/kf-references	url:https://cavatica.sbgenomics.com/u/kfdrc-harmonization/kf-references	Ki0MmlCG
https://github.com/kids-first/kf-tumor-workflow/blob/v0.3.0-beta/workflows/kfdrc_controlfreec_tumor_only_wf.cwl	https://github.com/kids-first/kf-tumor-workflow/blob/v0.3.0-beta/workflows/kfdrc_controlfreec_tumor_only_wf.cwl	url:https://github.com/kids-first/kf-tumor-workflow/blob/v0.3.0-beta/workflows/kfdrc_controlfreec_tumor_only_wf.cwl	DlCGympe
doi:10/gf3ggb	doi:10/gf3ggb	doi:10.1093/bioinformatics/btv710	kTn1PIj5
doi:10.1093/bioinformatics/bty304	doi:10.1093/bioinformatics/bty304	doi:10.1093/bioinformatics/bty304	7Ull5aU5
doi:10.1186/s13059-014-0550-8	doi:10.1186/s13059-014-0550-8	doi:10.1186/s13059-014-0550-8	w9AOzBMw
https://cavatica.sbgenomics.com/u/cavatica/opentarget/files	https://cavatica.sbgenomics.com/u/cavatica/opentarget/files	url:https://cavatica.sbgenomics.com/u/cavatica/opentarget/files	8TEohKq7
https://github.com/d3b-center/D3b-DGD-Collaboration/blob/main/scripts/update_gene_symbols.py	https://github.com/d3b-center/D3b-DGD-Collaboration/blob/main/scripts/update_gene_symbols.py	url:https://github.com/d3b-center/D3b-DGD-Collaboration/blob/main/scripts/update_gene_symbols.py	ROh6QqkH
https://ftp.ebi.ac.uk/pub/databases/genenames/hgnc/archive/monthly/tsv/hgnc_complete_set_2021-06-01.txt	https://ftp.ebi.ac.uk/pub/databases/genenames/hgnc/archive/monthly/tsv/hgnc_complete_set_2021-06-01.txt	url:https://ftp.ebi.ac.uk/pub/databases/genenames/hgnc/archive/monthly/tsv/hgnc_complete_set_2021-06-01.txt	1AbOmwaVu
doi:10.1101/gr.257246.119	doi:10.1101/gr.257246.119	doi:10.1101/gr.257246.119	DuQpY5dg
doi:10.1101/120295	doi:10.1101/120295	doi:10.1101/120295	rqYlIiAi
doi:10.5281/zenodo.13152566	doi:10.5281/zenodo.13152566	doi:10.5281/zenodo.13152566	wEy3xjXI
doi:10.1186/s12859-020-03922-7	doi:10.1186/s12859-020-03922-7	doi:10.1186/s12859-020-03922-7	10LfPTs0c
doi:10.5281/zenodo.4036788	doi:10.5281/zenodo.4036788	doi:10.5281/zenodo.4036788	16P6yomH4
https://www.testmenu.com/chop/Tests/785504	https://www.testmenu.com/chop/Tests/785504	url:https://www.testmenu.com/chop/Tests/785504	ivHRx5A6
https://github.com/kids-first/kf-rnaseq-workflow/blob/master/workflow/rmats_wf.cwl	https://github.com/kids-first/kf-rnaseq-workflow/blob/master/workflow/rmats_wf.cwl	url:https://github.com/kids-first/kf-rnaseq-workflow/blob/master/workflow/rmats_wf.cwl	Tp7tYeFQ
doi:10.1038/nmeth.4256	doi:10.1038/nmeth.4256	doi:10.1038/nmeth.4256	bKpYR6PB
doi:10.1093/bioinformatics/btv437	doi:10.1093/bioinformatics/btv437	doi:10.1093/bioinformatics/btv437	2rzcFP4J
doi:10.1038/ncomms6277	doi:10.1038/ncomms6277	doi:10.1038/ncomms6277	1B2RVFOKK
doi:10.1186/1471-2164-15-S1-S9	doi:10.1186/1471-2164-15-S1-S9	doi:10.1186/1471-2164-15-s1-s9	G4kbj7VC
doi:10.1038/nbt1240	doi:10.1038/nbt1240	doi:10.1038/nbt1240	VLwxfMaF
doi:10.1093/bioinformatics/btw691	doi:10.1093/bioinformatics/btw691	doi:10.1093/bioinformatics/btw691	dxeON3tz
doi:10.1038/bjc.2013.496	doi:10.1038/bjc.2013.496	doi:10.1038/bjc.2013.496	15Yz3j9AA
doi:10.1186/s12864-015-2202-0	doi:10.1186/s12864-015-2202-0	doi:10.1186/s12864-015-2202-0	HOfcb651
doi:10.1038/nature26000	doi:10.1038/nature26000	doi:10.1038/nature26000	19a3Xf4h3
doi:10.1016/j.cels.2015.12.004	doi:10.1016/j.cels.2015.12.004	doi:10.1016/j.cels.2015.12.004	1CbVoEpNJ
doi:10.1186/1471-2105-14-7	doi:10.1186/1471-2105-14-7	doi:10.1186/1471-2105-14-7	1F5zJEMaD
https://doi.org/10.1186/gb-2011-12-4-r41	https://doi.org/10.1186/gb-2011-12-4-r41	url:https://doi.org/10.1186/gb-2011-12-4-r41	Z38xUgBW
doi:10.1186/s13059-016-0893-4	doi:10.1186/s13059-016-0893-4	doi:10.1186/s13059-016-0893-4	KhxTOfIb
doi:10.1038/nature12477	doi:10.1038/nature12477	doi:10.1038/nature12477	kG8qNLrs
doi:10.1002/gcc.22733	doi:10.1002/gcc.22733	doi:10.1002/gcc.22733	1EbWJlH4p
https://github.com/kids-first/kf-somatic-workflow/blob/master/docs/kfdrc-consensus-calling.md	https://github.com/kids-first/kf-somatic-workflow/blob/master/docs/kfdrc-consensus-calling.md	url:https://github.com/kids-first/kf-somatic-workflow/blob/master/docs/kfdrc-consensus-calling.md	131WGAWRt
doi:10.1016/j.annonc.2021.09.016	doi:10.1016/j.annonc.2021.09.016	doi:10.1016/j.annonc.2021.09.016	sbU2rOO2
doi	doi	doi	FSDqKxd0
doi:10.1093/neuonc/noab106	doi:10.1093/neuonc/noab106	doi:10.1093/neuonc/noab106	6F5vK3sT
doi:10.1038/s41467-019-12187-5	doi:10.1038/s41467-019-12187-5	doi:10.1038/s41467-019-12187-5	gaCrHroW
doi:10.1093/neuonc/noz235	doi:10.1093/neuonc/noz235	doi:10.1093/neuonc/noz235	5NHLHVO3
doi:10.1371/journal.pcbi.1008263	doi:10.1371/journal.pcbi.1008263	doi:10.1371/journal.pcbi.1008263	12DKhuCiy
doi:10.1016/j.celrep.2018.03.076	doi:10.1016/j.celrep.2018.03.076	doi:10.1016/j.celrep.2018.03.076	X6oQhIf8
doi:10.1158/2159-8290.CD-17-0321	doi:10.1158/2159-8290.CD-17-0321	doi:10.1158/2159-8290.cd-17-0321	10jkUywit
doi:10.1038/nbt.3391	doi:10.1038/nbt.3391	doi:10.1038/nbt.3391	tfWVBF8o
doi:10.1038/sj.cdd.4401904	doi:10.1038/sj.cdd.4401904	doi:10.1038/sj.cdd.4401904	KxZPoysm
doi:10.1038/ng0593-42	doi:10.1038/ng0593-42	doi:10.1038/ng0593-42	14asizOhY
doi:10.1101/cshperspect.a026187	doi:10.1101/cshperspect.a026187	doi:10.1101/cshperspect.a026187	JdxWaORm
doi:10.1093/nar/gkx193	doi:10.1093/nar/gkx193	doi:10.1093/nar/gkx193	A4FXW005
